176,175,178
166,166,168
163,168,171
161,159,158
164,173,175
158,163,166
240,238,239
165,172,178
145,147,147
115,122,131
138,146,152
181,181,181
181,181,183
139,152,155
162,170,169
159,170,170
131,141,146
172,178,179
171,182,185
116,133,139
156,161,162
231,233,227
154,167,168
179,185,183
112,132,136
124,139,146
118,133,140
214,222,221
163,150,131
153,136,126
153,142,124
146,134,123
245,245,239
198,189,184
57,55,49
161,166,169
149,142,121
153,146,127
120,118,119
174,178,178
90,100,104
126,131,134
193,208,213
128,148,152
118,133,140
124,144,151
139,151,159
152,164,168
123,138,145
139,151,157
138,151,154
192,199,203
235,239,241
201,203,204
170,166,165
156,154,153
139,143,142
176,173,169
125,138,144
150,157,160
138,151,158
165,170,175
169,175,177
137,142,145
184,185,186
156,163,166
141,154,157
152,164,168
132,141,143
131,153,158
150,147,143
144,151,148
142,146,145
142,141,138
36,46,46
33,44,48
43,53,58
46,57,60
117,133,135
156,169,170
140,157,165
156,167,176
135,145,152
134,138,149
170,180,188
107,121,123
106,102,89
120,113,102
121,112,98
131,123,110
170,179,183
168,182,181
188,191,195
195,199,192
114,109,99
130,117,109
119,112,101
109,100,92
66,95,103
56,81,87
69,103,110
141,124,108
151,137,119
155,142,125
149,136,119
21,51,59
16,44,51
35,64,73
43,73,91
91,89,81
101,103,104
117,132,137
120,118,109
104,115,115
140,135,126
109,105,94
53,91,105
112,129,137
168,181,187
80,87,91
134,136,129
141,155,159
90,99,98
49,58,58
83,88,88
149,153,158
137,142,145
179,184,187
141,150,152
54,64,69
91,110,117
94,106,109
67,86,92
169,176,171
113,135,143
161,173,179
79,91,92
119,130,138
146,146,140
128,133,136
171,173,173
114,127,131
103,119,121
98,118,125
134,148,150
133,139,137
124,142,145
222,214,204
158,161,159
137,150,153
162,173,174
150,162,166
130,143,146
134,140,144
176,179,184
196,196,198
146,160,161
165,177,185
144,157,161
156,166,171
131,151,157
141,154,157
170,179,183
130,143,146
147,156,160
